ProgramAdministrator,ProgramName,FuelType,Sector,"NetFuelSavingAcquired,MWh",Success,Predicted
New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,714.7918686,0,0
New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,680260.5,0,0
New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,148585.3675419,0,0
New York State Energy Research and Development Authority,FlexTech Expansion Program,Electric,Commercial,934072.36,0,0
New York State Energy Research and Development Authority,Flex Tech Program,Electric,Commercial,5192.98,0,0
New York State Energy Research and Development Authority,Flex Tech Program,Gas,Commercial,221536.4662392,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,1134.9,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,1134.91,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,490.6196949,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,5055.71,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,136037.84804699998,0,0
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Electric,Commercial,870258.61,1,0
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Gas,Commercial,864024.6805245,1,0
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Electric,Multi-Family,779.99,1,1
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Electric,Multi-Family,70296.32,1,1
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Gas,Multi-Family,269579.5632207,1,1
New York State Energy Research and Development Authority,Multifamily Performance Program,Gas,Multi-Family,4668.9509226,0,0
New York State Energy Research and Development Authority,Multifamily Performance Program,Electric,Multi-Family,33992.6,0,0
New York State Energy Research and Development Authority,Multifamily Performance Program,Gas,Multi-Family,117393.1976976,0,0
New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,12.45,1,0
New York State Energy Research and Development Authority,New Construction Program,Gas,Commercial,224821.7223252,1,0
New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,377319.79,1,0
New York State Energy Research and Development Authority,New Construction Program,Gas,Commercial,140325.5061075,1,0
New York State Energy Research and Development Authority,New York Energy Star Homes,Gas,Residential,148530.5487984,0,0
New York State Energy Research and Development Authority,New York Energy Star Homes,Electric,Residential,22395.87,0,0
Niagara Mohawk Power Corporation,Commercial High-Eff. Heating and Water Heating,Gas,Commercial,10255.1581926,1,1
Niagara Mohawk Power Corporation,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,157568.059755,1,1
Niagara Mohawk Power Corporation,Energy Initiative - Commercial & Industrial Electric Program,Electric,Commercial,406583.95,1,1
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Electric,Commercial,43778.41,1,1
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Gas,Commercial,17747.047276200003,1,1
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Electric,Commercial,108660.32,1,1
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Gas,Commercial,17392.9806171,1,1
Niagara Mohawk Power Corporation,Energy Wise Program,Electric,Multi-Family,33500.44,1,1
Niagara Mohawk Power Corporation,Energy Wise Program,Gas,Multi-Family,42798.87602519999,1,1
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Electric,Residential,108.33,1,1
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Gas,Residential,2349.5099523,1,1
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Electric,Residential,181091.55,1,1
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Gas,Residential,296659.3250031,1,1
Niagara Mohawk Power Corporation,Residential Energy Star Products and Recycling,Electric,Residential,57917.08,1,1
Niagara Mohawk Power Corporation,Residential Energy Star Products Program,Gas,Residential,2315.2998912,1,1
Niagara Mohawk Power Corporation,"Residential High Efficiency Heating, Water Heating & Controls Program",Gas,Residential,146904.7986567,1,1
Niagara Mohawk Power Corporation,Residential HVAC Program,Electric,Residential,1345.25,1,1
Niagara Mohawk Power Corporation,Residential HVAC Program,Gas,Residential,214424.0002311,1,1
Niagara Mohawk Power Corporation,Small Business Direct Install Program,Electric,Commercial,609718.51,1,1
"Orange and Rockland Utilities, Inc.",Commercial Existing Buildings Program,Electric,Commercial,48462.92,1,0
"Orange and Rockland Utilities, Inc.",Residential Efficient Products Program,Electric,Residential,12349.26,0,0
"Orange and Rockland Utilities, Inc.",Residential HVAC,Electric,Residential,51.19,0,0
"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Electric,Residential,287.22,0,0
"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Gas,Residential,26721.419232,0,0
"Orange and Rockland Utilities, Inc.",Small Business Direct Install Program,Electric,Commercial,39683.54,1,0
Rochester Gas and Electric Corporation,Block Bidding Program,Electric,Commercial,11595.37,0,0
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Electric,Commercial,2459.03,0,0
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Gas,Commercial,145.36272,0,0
Rochester Gas and Electric Corporation,C&I Electric Program,Electric,Commercial,56619.53,0,0
Rochester Gas and Electric Corporation,C&I Gas Program,Gas,Commercial,18923.3950878,0,0
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,871.54,0,0
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,6992.445051,0,0
Rochester Gas and Electric Corporation,Energy Saver Program,Gas,Residential,2969.355933,1,0
Rochester Gas and Electric Corporation,Multifamily Program,Electric,Multi-Family,17841.12,1,1
Rochester Gas and Electric Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,41974.93,1,0
Rochester Gas and Electric Corporation,Residential HVAC Program,Electric,Residential,13782.24,1,0
Rochester Gas and Electric Corporation,Residential HVAC Program,Gas,Residential,246025.5009444,1,0
Rochester Gas and Electric Corporation,Small Business Direct Install Program,Electric,Commercial,63984.18,0,0
"St. Lawrence Gas Company, Inc.",Residential Gas HVAC Program,Gas,Residential,6886.8255537,0,0
"St. Lawrence Gas Company, Inc.",Small Commercial HVAC Program,Gas,Commercial,1407.1081989000002,0,0
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial Energy Efficiency Program,Gas,Commercial,21946.6759008,1,0
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,167785.2858975,1,1
The Brooklyn Union Gas Company d/b/a National Grid NY,Enhanced Home Sealing Incentives Program,Gas,Residential,1170.9142938,0,0
The Brooklyn Union Gas Company d/b/a National Grid NY,Large Industrial Energy Efficiency Program,Gas,Commercial,46105.4177853,1,0
